time,flux,flux_err
-0.355752642,0.999897713,0.000370105
-0.354363753,0.999219248,0.000604215
-0.352974864,0.999678203,0.000416219
-0.351585975,0.99945794,0.000429697
-0.350197086,1.000724436,0.000293481
-0.348808197,0.999615516,0.000531513
-0.347419308,1.000592758,0.000264759
-0.346030419,1.000161686,0.000487207
-0.34464153,0.999609144,0.000448596
-0.343252642,1.000440115,0.000396988
-0.341863753,1.000294324,0.000352518
-0.340474864,0.999598662,0.000661943
-0.339085975,1.000365164,0.00024323
-0.337697086,1.00011688,0.000413867
-0.336308197,0.999446567,0.00052876
-0.334919308,1.000688399,0.000407494
-0.333530419,0.999869692,0.000364269
-0.33214153,1.000589195,0.000484133
-0.330752642,1.000656062,0.00034153
-0.329363753,1.000141955,0.000433417
-0.327974864,1.000231156,0.000632065
-0.326585975,1.000173744,0.000484396
-0.325197086,1.000419699,0.000616928
-0.323808197,0.999925734,0.000476365
-0.322419308,0.999999383,0.000463936
-0.321030419,1.000501638,0.000549367
-0.31964153,0.999749249,0.000341778
-0.318252642,0.999685055,0.000255829
-0.316863753,1.000350914,0.000605639
-0.315474864,1.00032118,0.000319582
-0.314085975,1.000308985,0.000268933
-0.312697086,0.999931763,0.000416232
-0.311308197,0.999582082,0.000465437
-0.309919308,1.000245407,0.000427359
-0.308530419,1.000154972,0.00056264
-0.30714153,0.999642167,0.000414164
-0.305752642,0.999667584,0.000407409
-0.304363753,1.000010277,0.000373248
-0.302974864,1.000111673,0.000422771
-0.301585975,1.000490402,0.000325006
-0.300197086,0.999865513,0.000231316
-0.298808197,1.001187434,0.000154961
-0.297419308,0.999948137,0.00027552
-0.296030419,1.000494513,0.000372184
-0.29464153,0.999888327,0.00055728
-0.293252642,0.999678066,0.000407753
-0.291863753,1.00033543,0.00041485
-0.290474864,0.999908675,0.000392921
-0.289085975,1.000077281,0.000309766
-0.287697086,1.000382292,0.000395576
-0.286308197,0.999832148,0.000460484
-0.284919308,1.000807609,0.000401677
-0.283530419,0.999617571,0.000336527
-0.28214153,1.000249517,0.000464173
-0.280752642,1.000463272,0.00039589
-0.279363753,1.000458476,0.000208345
-0.277974864,1.001053563,0.00038065
-0.276585975,1.000619888,0.000224418
-0.275197086,1.00048684,0.000231326
-0.273808197,1.000061249,0.000432089
-0.272419308,1.000030419,0.000420289
-0.271030419,0.999828243,0.000366017
-0.26964153,1.000114276,0.000463586
-0.268252642,1.000877764,0.000577158
-0.266863753,1.000193475,0.000386547
-0.265474864,0.99990292,0.000629427
-0.264085975,1.000405997,0.000317174
-0.262697086,0.99953666,0.000502981
-0.261308197,1.001052878,0.000544902
-0.259919308,0.99958126,0.000441082
-0.258530419,1.000530824,0.000481567
-0.25714153,1.000196627,0.000351684
-0.255752642,0.999705402,0.000739587
-0.254363753,0.999870377,0.000397982
-0.252974864,0.999702799,0.000224103
-0.251585975,1.000177855,0.000368722
-0.250197086,1.000244722,0.000223277
-0.248808197,0.999880859,0.000288209
-0.247419308,1.00047026,0.000270094
-0.246030419,1.000432853,0.000318208
-0.24464153,1.000836794,0.000419892
-0.243252642,1.000200189,0.000520962
-0.241863753,1.000343789,0.000303321
-0.240474864,1.000492732,0.000296336
-0.239085975,0.999678683,0.00013116
-0.237697086,0.999736917,0.000288633
-0.236308197,0.999854208,0.000463986
-0.234919308,0.999744248,0.000375303
-0.233530419,1.000602898,0.000435937
-0.23214153,0.999692796,0.000484919
-0.230752642,1.000647019,0.00024934
-0.229363753,0.999973966,0.000716851
-0.227974864,0.999953687,0.000447791
-0.226585975,0.999483837,0.000431989
-0.225197086,1.000132089,0.000535437
-0.223808197,1.000033022,0.000467822
-0.222419308,1.000476974,0.000443757
-0.221030419,1.00057289,0.000373379
-0.21964153,1.000686755,0.000378997
-0.218252642,0.999996437,0.000403275
-0.216863753,1.000074266,0.000507584
-0.215474864,1.00012332,0.000662068
-0.214085975,1.000107425,0.000630999
-0.212697086,1.000756225,0.000481526
-0.211308197,1.000132912,0.000367435
-0.209919308,1.000946138,0.000497272
-0.208530419,1.000000411,0.000348101
-0.20714153,0.999562009,0.000508174
-0.205752642,1.000271167,0.000430612
-0.204363753,1.00009756,0.000605387
-0.202974864,0.999922994,0.000326533
-0.201585975,0.999360929,0.0004745
-0.200197086,1.000117702,0.000324297
-0.198808197,0.999892849,0.000256511
-0.197419308,0.999464243,0.000582871
-0.196030419,0.999543031,0.000344425
-0.19464153,0.999090036,0.000507328
-0.193252642,0.999820501,0.000406568
-0.191863753,1.000060153,0.000269112
-0.190474864,1.0000037,0.000273618
-0.189085975,1.000278977,0.000341573
-0.187697086,1.000320495,0.000389248
-0.186308197,0.999682588,0.000410029
-0.184919308,0.999928885,0.000417577
-0.183530419,1.000461628,0.000594696
-0.18214153,1.000484236,0.000318585
-0.180752642,1.000022472,0.000478417
-0.179363753,0.999525492,0.000714138
-0.177974864,1.000651403,0.000363437
-0.176585975,0.999792206,0.000427059
-0.175197086,1.000026034,0.000363187
-0.173808197,1.000740468,0.000459207
-0.172419308,1.00063729,0.000325151
-0.171030419,0.999706361,0.000222561
-0.16964153,0.999734383,0.00039359
-0.168252642,0.999417108,0.00038905
-0.166863753,0.999564475,0.000292813
-0.165474864,1.000117428,0.000388212
-0.164085975,1.000266234,0.000386558
-0.162697086,1.000046862,0.000376261
-0.161308197,0.999317356,0.000358784
-0.159919308,1.00095573,0.000424652
-0.158530419,0.999862156,0.000432239
-0.15714153,1.00011044,0.000558425
-0.155752642,1.000193201,0.000465005
-0.154363753,1.000157027,0.000390945
-0.152974864,1.00050616,0.000394183
-0.151585975,0.999188555,0.000523815
-0.150197086,1.000300901,0.000406918
-0.148808197,0.999832148,0.000499715
-0.147419308,1.000065634,0.000352463
-0.146030419,1.00028528,0.000309916
-0.14464153,0.999417656,0.000267249
-0.143252642,0.999992601,0.000273654
-0.141863753,1.000373796,0.000667963
-0.140474864,1.000521232,0.000334262
-0.139085975,1.00017717,0.000334145
-0.137697086,1.000227183,0.000455132
-0.136308197,1.00010263,0.000487854
-0.134919308,1.000882697,0.000466811
-0.133530419,0.999621339,0.000401642
-0.13214153,0.999943478,0.000268833
-0.130752642,0.999843589,0.000386333
-0.129363753,1.000180869,0.000324204
-0.127974864,1.000623451,0.000452038
-0.126585975,1.000036996,0.00036662
-0.125197086,1.000015895,0.000482059
-0.123808197,1.000766091,0.000495145
-0.122419308,1.000421891,0.000376175
-0.121030419,0.999781861,0.000415474
-0.11964153,1.000650855,0.000385024
-0.118252642,1.000483003,0.0004097
-0.116863753,0.999965539,0.000144638
-0.115474864,0.999916691,0.000385716
-0.114085975,1.000156205,0.000402956
-0.112697086,1.000118798,0.000492593
-0.111308197,1.00054617,0.000341075
-0.109919308,1.000012332,0.000425839
-0.108530419,1.001188667,0.000427206
-0.10714153,0.999814472,0.000364027
-0.105752642,0.999972733,0.000474141
-0.104363753,0.999977802,0.000380414
-0.102974864,0.999920733,0.000400498
-0.101585975,1.000035215,0.000437547
-0.100197086,1.000121402,0.000290499
-0.098808197,1.000483962,0.000504927
-0.097419308,1.000207178,0.000488533
-0.096030419,1.000332964,0.000535816
-0.09464153,0.999726709,0.000209595
-0.093252642,1.000396679,0.000313286
-0.091863753,0.999321466,0.000200191
-0.090474864,1.000225813,0.000273379
-0.089085975,1.000125512,0.000430304
-0.087697086,0.99963326,0.000513204
-0.086308197,1.00064099,0.000626497
-0.084919308,0.999621065,0.000310076
-0.083530419,0.999857497,0.000487323
-0.08214153,1.000296242,0.000276676
-0.080752642,0.99939628,0.000392817
-0.079363753,0.999150737,0.000426271
